scenario,rho,mu,propulsion,speed,Re
fish,1100.0,7.943282347242822e-05,Fin,0.12450504992241884,172416.8283684378
fish,1100.0,7.943282347242822e-05,Flagella,6.772165702113489e-06,9.378216644798707
fish,1100.0,0.00012022644346174131,Fin,0.12449112883178957,113901.93186455351
fish,1100.0,0.00012022644346174131,Flagella,1.0247014978093737e-05,9.37540540279728
fish,1100.0,0.00018197008586099826,Fin,0.12447157337335621,75242.43892223039
fish,1100.0,0.00018197008586099826,Flagella,1.550245082748738e-05,9.3711534121395
fish,1100.0,0.0002754228703338166,Fin,0.12444389648921489,49701.13265184759
fish,1100.0,0.0002754228703338166,Flagella,2.3447812134538098e-05,9.364724620265159
fish,1100.0,0.0004168693834703355,Fin,0.12440389021443383,32826.65618105175
fish,1100.0,0.0004168693834703355,Flagella,3.545288383708964e-05,9.35500993048431
fish,1100.0,0.000630957344480193,Fin,0.12434462812673991,21678.025010089674
fish,1100.0,0.000630957344480193,Flagella,5.357597612371278e-05,9.340341982172474
fish,1100.0,0.0009549925860214359,Fin,0.12425550985085237,14312.264077919204
fish,1100.0,0.0009549925860214359,Flagella,8.08984890062313e-05,9.31822290658673
fish,1100.0,0.001445439770745928,Fin,0.12412050566596303,9445.745094041578
fish,1100.0,0.001445439770745928,Flagella,0.00012200734428762625,9.284930540352434
fish,1100.0,0.002187761623949552,Fin,0.12391306184237946,6230.311681788622
fish,1100.0,0.002187761623949552,Flagella,0.00018367180305007123,9.234963313340266
fish,1100.0,0.003311311214825911,Fin,0.12358314872190085,4105.36656854943
fish,1100.0,0.003311311214825911,Flagella,0.0002757506619671939,9.160290546108044
fish,1100.0,0.005011872336272719,Fin,0.12300917318126652,2699.7912440846803
fish,1100.0,0.005011872336272719,Flagella,0.0004123137174974467,9.049414247141188
fish,1100.0,0.007585775750291836,Fin,0.12174466925074194,1765.398036854228
fish,1100.0,0.007585775750291836,Flagella,0.0006128178430563568,8.886363762283096
fish,1100.0,0.01148153621496883,Fin,0.11126613412205137,1065.9962677702429
fish,1100.0,0.01148153621496883,Flagella,0.0009028673275468185,8.650010257396524
fish,1100.0,0.017378008287493744,Fin,0.10190308562075132,645.0301572447493
fish,1100.0,0.017378008287493744,Flagella,0.0013135553735803614,8.314594440481663
fish,1100.0,0.026302679918953815,Fin,0.0957009194667936,400.22922279343203
fish,1100.0,0.026302679918953815,Flagella,0.0018777959219952124,7.8530990779622885
fish,1100.0,0.03981071705534969,Fin,0.08825763040018537,243.8624587073546
fish,1100.0,0.03981071705534969,Flagella,0.0026222945311627313,7.24559665747439
fish,1100.0,0.060255958607435746,Fin,0.07947560072771138,145.08633307128946
fish,1100.0,0.060255958607435746,Flagella,0.003556955959520444,6.493385294827351
fish,1100.0,0.09120108393559097,Fin,0.06934272516290421,83.63606482250125
fish,1100.0,0.09120108393559097,Flagella,0.00467112910563078,5.633970337263364
fish,1100.0,0.13803842646028838,Fin,0.057955719103945834,46.183727711993825
fish,1100.0,0.13803842646028838,Flagella,0.005951071690111491,4.742287366631117
fish,1100.0,0.2089296130854041,Fin,0.04547703578589794,23.94334562044067
fish,1100.0,0.2089296130854041,Flagella,0.007414159994597741,3.9035040909800385
fish,1100.0,0.31622776601683794,Fin,0.03186757579218128,11.085153531247126
fish,1100.0,0.31622776601683794,Flagella,0.009117867216986878,3.1716550589525165
fish,1100.0,0.47863009232263803,Fin,0.015173075865924318,3.487115356981355
fish,1100.0,0.47863009232263803,Flagella,0.011124198000092404,2.5565918224492052
fish,1100.0,0.7244359600749891,Fin,0.0005153979125379393,0.07825918853242009
fish,1100.0,0.7244359600749891,Flagella,0.013471333017404944,2.045517773249622
fish,1100.0,1.096478196143185,Fin,0.00034061934363170703,0.03417133868350534
fish,1100.0,1.096478196143185,Flagella,0.016173747686379112,1.622569652328385
fish,1100.0,1.6595869074375598,Fin,0.00022504612074630007,0.014916406710098364
fish,1100.0,1.6595869074375598,Flagella,0.019221000000102958,1.2739977584397002
fish,1100.0,2.511886431509577,Fin,0.00017032715387866912,0.00745893074289739
fish,1100.0,2.511886431509577,Flagella,0.022847099158538563,1.0005153401497087
fish,1100.0,3.801893963205613,Fin,0.00013986949194051625,0.004046836724631898
