sweep,scenario,propulsion,rho,mu,L,freq,speed,Re
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.13664483492953255,1.6396031066179262e-07,8.198015533089631e-07
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.15973122800602543,1.9165904729945282e-07,9.582952364972641e-07
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.18671810912919196,2.2403655597358352e-07,1.1201827798679176e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.21826447283974873,2.6188296997631255e-07,1.3094148498815628e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.25514065200312885,3.0612177726041523e-07,1.5306088863020761e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.2982471286216891,3.5783232776864793e-07,1.7891616388432396e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.3486365227678085,4.1827606578337395e-07,2.0913803289168698e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.4075392965871777,4.889272360308894e-07,2.4446361801544474e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.47639380104013407,5.715087030289112e-07,2.857543515144556e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.556881399094527,6.680337869546804e-07,3.3401689347734025e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.6509675230458171,7.808551125698671e-07,3.904275562849336e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.7609496685459878,9.127216196169741e-07,4.56360809808487e-06
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.8895134973108234,1.066845106922898e-06,5.33422553461449e-06
